u,v,pen
-0.06849,-0.03533,1
-0.06679,-0.03427,1
-0.06509,-0.03321,1
-0.06340,-0.03215,1
-0.06170,-0.03109,1
-0.06000,-0.03002,1
-0.05831,-0.02896,1
-0.05655,-0.02801,1
-0.05477,-0.02708,1
-0.05300,-0.02615,1
-0.05123,-0.02522,1
-0.04945,-0.02430,1
-0.04768,-0.02337,1
-0.04718,-0.02328,1
-0.04874,-0.02453,1
-0.05030,-0.02578,1
-0.05186,-0.02704,1
-0.05342,-0.02829,1
-0.05498,-0.02954,1
-0.05654,-0.03080,1
-0.05810,-0.03205,1
-0.05888,-0.03316,1
-0.05711,-0.03237,1
-0.05535,-0.03142,1
-0.05359,-0.03046,1
-0.05183,-0.02951,1
-0.05007,-0.02855,1
-0.04831,-0.02760,1
-0.04655,-0.02664,1
-0.04479,-0.02569,1
-0.04299,-0.02482,1
-0.04116,-0.02400,1
-0.03934,-0.02319,1
-0.03751,-0.02238,1
-0.03568,-0.02157,1
-0.03385,-0.02075,1
-0.03202,-0.01994,1
-0.03019,-0.01913,1
-0.02836,-0.01831,1
-0.02653,-0.01750,1
-0.02470,-0.01669,1
-0.02287,-0.01588,1
-0.02108,-0.01500,1
-0.01937,-0.01395,1
-0.01766,-0.01291,1
-0.01596,-0.01186,1
-0.01425,-0.01082,1
-0.01249,-0.01047,1
-0.01072,-0.00957,1
-0.00917,-0.00836,1
-0.00783,-0.00687,1
-0.00649,-0.00538,1
-0.00515,-0.00389,1
-0.00382,-0.00240,1
-0.00248,-0.00091,1
-0.00114,0.00058,1
0.00020,0.00207,1
-0.00005,0.00402,1
-0.00005,0.00402,0
0.02791,0.01779,0
0.02791,0.01779,1
0.02794,0.01576,1
0.02798,0.01374,1
0.02801,0.01171,1
0.02681,0.01202,1
0.02641,0.01401,1
0.02601,0.01600,1
0.02590,0.01590,1
0.02604,0.01388,1
0.02619,0.01186,1
0.02504,0.01069,1
0.02338,0.01088,1
0.02217,0.01244,1
0.02218,0.01096,1
0.02149,0.01287,1
0.02082,0.01475,1
0.02151,0.01285,1
0.02221,0.01095,1
0.02214,0.01200,1
0.02293,0.01117,1
0.02445,0.01048,1
0.02592,0.01132,1
0.02588,0.01334,1
0.02585,0.01537,1
0.02593,0.01653,1
0.02645,0.01457,1
0.02697,0.01261,1
0.02765,0.01127,1
0.02822,0.01313,1
0.02837,0.01514,1
0.02810,0.01715,1
0.02813,0.01641,1
0.02831,0.01439,1
0.02848,0.01237,1
0.02991,0.01191,1
0.03068,0.01361,1
0.03083,0.01418,1
0.03026,0.01224,1
0.02880,0.01176,1
0.02854,0.01377,1
0.02828,0.01578,1
0.02801,0.01779,1
0.02801,0.01779,0
0.04784,0.01737,0
0.04784,0.01737,1
0.04826,0.01539,1
0.04868,0.01342,1
0.04981,0.01197,1
0.05159,0.01102,1
0.05352,0.01046,1
0.05548,0.00996,1
0.05689,0.00891,1
0.05740,0.00695,1
0.05790,0.00500,1
0.05840,0.00304,1
0.05900,0.00111,1
0.05973,-0.00077,1
0.06046,-0.00266,1
0.06119,-0.00454,1
0.06192,-0.00643,1
0.06273,-0.00827,1
0.06375,-0.01002,1
0.06477,-0.01177,1
0.06579,-0.01351,1
0.06681,-0.01526,1
0.06801,-0.01688,1
0.06922,-0.01850,1
0.07043,-0.02012,1
0.07164,-0.02174,1
0.07310,-0.02314,1
0.07457,-0.02453,1
0.07604,-0.02591,1
0.07761,-0.02717,1
0.07929,-0.02830,1
0.08097,-0.02942,1
0.08265,-0.03055,1
0.08433,-0.03168,1
0.08601,-0.03280,1
0.08777,-0.03361,1
0.08979,-0.03347,1
0.09181,-0.03334,1
0.09381,-0.03359,1
0.09582,-0.03385,1
0.09383,-0.03359,1
0.09183,-0.03334,1
0.08982,-0.03353,1
0.08781,-0.03373,1
0.08609,-0.03275,1
0.08441,-0.03163,1
0.08272,-0.03051,1
